dataset_doi	dataset_key	dataset_title	dataset_citation	number_records
10.15468/ke2ody	20e3fcbb-c285-49ee-a93d-cc6ccd06ca9e	FLORIVON	Sparrius, L., J. van Heeswijk, G.M. Dirkse & M.J.J.M. Verhofstad (2019): FLORIVON. v11.6. FLORON Plant Conservation Netherlands. Dataset/Occurrence. http://www.verspreidingsatlas.nl:8085/ipt/resource?r=florivon&amp;v=11.6	1693
10.15468/xnlbke	940821c0-3269-11df-855a-b8a03c50a862	Belgian IFBL Flora Checklists (1939-1971)	Van Landuyt W, Noe N (2018). Belgian IFBL Flora Checklists (1939-1971). Botanic Garden Meise. Occurrence dataset https://doi.org/10.15468/xnlbke accessed via GBIF.org on 2019-03-19.	1044
10.15468/yn7jkv	36555a0c-8361-42c4-9f78-805816266f2e	BSBI data from several English counties, up to 2015		638
10.15468/osi63h	64dabd3c-4f34-4520-b9dd-d227a0bf1582	Occurrence Data of Vascular Plants collected or compiled for the Flora of Bavaria	Staatliche Naturwissenschaftliche Sammlungen Bayerns. Occurrence Data of Vascular Plants collected or compiled for the Flora of Bavaria. Occurrence dataset https://doi.org/10.15468/osi63h accessed via GBIF.org on 2021-03-16.	572
10.3897/phytokeys.12.2849	271c444f-f8d8-4986-b748-e7367755c0c1	Florabank1 - A grid-based database on vascular plant distribution in the northern part of Belgium (Flanders and the Brussels Capital region)	Van Landuyt W, Vanhecke L, Brosens D (2011) Florabank 1: a grid-based database on vascular plant distribution in the northern part of Belgium (Flanders and the Brussels Capital region). PhytoKeys 12: 59–67. https://doi.org/10.3897/phytokeys.12.2849	513
10.15468/nxikmj	c0dd99c3-fa06-499c-949e-aa44d42f2f16	Inventaire des Messicoles - Inventaire Messicoles (FCBN)		363
10.15468/ib5ypt	15f819bd-6612-4447-854b-14d12ee1022d	Naturalis Biodiversity Center (NL) - Botany		317
10.15468/ksqxep	740df67d-5663-41a2-9d12-33ec33876c47	Dutch Vegetation Database	Hennekens S. (2016): Dutch Vegetation Database (LVD). v1.7. Alterra. http://doi.org/10.15468/ksqxep	261
10.15468/omae84	75956ee6-1a2b-4fa3-b3e8-ccda64ce6c2d	INPN - Données flore des CBN agrégées par la FCBN	Citation: Just A., Gourvil J., Millet J., Mandon I., Milon T., Dutrève B., Boullet V. (2014). SIFlore, a dataset of geographical distribution of vascular plants covering five centuries of knowledge in France: Results of a collaborative project coordinated by the Federation of the National Botanical Conservatories. PhytoKeys (In press)	159
10.15468/c4w4co	aab0cf80-0c64-11dd-84d1-b8a03c50a862	Lund Botanical Museum (LD)		139
10.15468/wrthhx	b740eaa0-0679-41dc-acb7-990d562dfa37	Meise Botanic Garden Herbarium (BR)	Meise Botanic Garden (2022) Meise Botanic Garden Herbarium (BR). v1. Dataset/Occurrence. http://apm-ipt.br.fgov.be:8080/ipt/resource?r=botanical_collection	138
10.15468/kqsmsl	52e0fe59-6da4-4707-ab31-c8873f415dc9	BioGIS - Vascular plants - HUJ Herbarium	Vascular plants - HUJ Herbarium (accessed by BioGIS)	93
10.15468/vmbgz9	d70c169f-fd9e-4355-8431-8d1fba91370f	MnhnL various project records, Recorder-Lux database	National Museum of Natural History, Luxembourg (2022): MnhnL various project records, Recorder-Lux database. v1.6. National Museum of Natural History, Luxembourg. Dataset/Occurrence. https://gbif.mnhn.lu/ipt/resource?r=gbif_random_occ_mnhnl&v=1.6	60
10.15468/pff0t6	838475f4-f762-11e1-a439-00145eb45e9a	Institut Botanic de Barcelona (IBB, CSIC-Ajuntament de Barcelona), BC-Plantae	Nualart N, Montes N (2021). Institut Botanic de Barcelona (IBB, CSIC-Ajuntament de Barcelona), Version 1.10. Botanical Institute of Barcelona (IBB, CSIC-Ajuntament de Barcelona). Occurrence dataset https://doi.org/10.15468/pff0t6 accessed via GBIF.org on xx-yy-zzz.	49
10.15468/ab4vwo	e707e6da-e143-445d-b41d-529c4a777e8b	Suffolk Biodiversity Information Service (SBIS) Dataset		49
10.15468/tjvqci	064508e2-255e-4d82-9f13-05d73476cc03	United Herbaria of the University and ETH Zurich	Nyffeler R, Guggisberg A (2022): United Herbaria of the University and ETH Zurich. v1.553. United Herbaria of the University and ETH Zurich (Z+ZT). Dataset/Occurrence. https://www.herbarien.uzh.ch/ipt/resource?r=herbaria-z-zt&v=1.553	44
10.15468/7jffp3	83fdfd3d-3a25-4705-9fbe-3db1d1892b13	Swiss National Databank of Vascular Plants	Jutzi M, Vilpert M, Juillerat P, Eggenberg S (2022). Swiss National Databank of Vascular Plants. Version 1.11. Swiss National Biodiversity Data and Information Centres – infospecies.ch. Occurrence dataset https://doi.org/10.15468/7jffp3 accessed via GBIF.org on 2022-06-27.	44
10.15468/3bdhl3	cb850587-95f8-4ab1-83e4-a20267b3aea8	Flore Franco-Belge		41
10.15468/kw8izq	5445131a-b491-44d8-9974-3ec52bde0c47	Wikiplantbase #Toscana		40
10.15468/megroo	857aa892-f762-11e1-a439-00145eb45e9a	Observations du Conservatoire botanique national du Bassin parisien.	Conservatoire botanique national du Bassin parisien. Observations du Conservatoire botanique national du Bassin parisien.. Occurrence Dataset https://doi.org/10.15468/megroo accessed via GBIF.org on 2018-03-09.	39
10.15468/44yxfz	d1f724bf-8d68-49c8-a87f-5c9e7a7b9deb	Segetal flora of Italy	Fanfarillo E, Latini M, Iberite M, Abbate G (2020): Segetal flora of Italy. v1.8. Laboratory of Systematic Botany and Floristics - Department of Environmental Biology, Sapienza University. Dataset/Occurrence. https://cloud.gbif.org/eca/resource?r=segflorit&v=1.8	36
10.15468/u5wjib	41b59050-0a12-11dd-953d-b8a03c50a862	Oskarshamn herbarium (OHN)	Telenius A, Rühling Å (2017). Oskarshamn herbarium (OHN). GBIF-Sweden. Occurrence dataset https://doi.org/10.15468/u5wjib accessed via GBIF.org on 2020-09-18.	34
10.15468/2dohar	53f13c8f-413e-4537-bda6-98666cd7975f	Other BSBI Scottish data up to 2016		32
10.15468/1c9lfo	72b6bac4-3a93-491b-a931-cbd07bff5b39	Inventaire de la flore d'Alsace - Données de la flore d’Alsace (SBA)		31
10.5519/0002965	7e380070-f762-11e1-a439-00145eb45e9a	Natural History Museum (London) Collection Specimens	Natural History Museum (2015): Collection specimens https://data.nhm.ac.uk.	27
